event,series,month,ticker,top_leg_8d_vol,n_min,min_with_trades,total_vol_6h,median_spread_c,mid_range_c,n_legs_avail
giannis_to_heat,KXFED,26JUL,KXFED-26JUL-T3.75,17240.2,27,6,331.1,3.0,2.5,11
giannis_to_heat,KXCPI,26JUL,KXCPI-26JUL-T0.1,2289.1,32,0,0.0,45.0,4.0,10
myles_garrett_to_rams,KXFED,26JUL,KXFED-26JUL-T3.50,617.8,16,1,2.0,3.0,0.0,11
myles_garrett_to_rams,KXCPI,26JUL,KXCPI-26JUL-T0.5,2550.9,4,1,15.4,13.0,0.5,10
aj_brown_to_patriots,KXFED,26JUL,KXFED-26JUL-T3.50,617.8,16,1,2.0,3.0,0.0,11
aj_brown_to_patriots,KXCPI,26JUL,KXCPI-26JUL-T0.5,2550.9,3,1,15.4,13.0,0.5,10
jaylen_brown_to_76ers,KXFED,26JUL,KXFED-26JUL-T2.75,115001.7,0,0,0,,,11
jaylen_brown_to_76ers,KXCPI,26JUL,KXCPI-26JUL-T0.1,1891.8,17,2,104.0,5.0,1.5,10
dlo_six_team_trade,KXFED,26JUL,KXFED-26JUL-T3.75,256764.2,39,18,47706.6,1.0,2.0,11
dlo_six_team_trade,KXCPI,26JUL,KXCPI-26JUL-T0.1,2686.9,0,0,0,,,10
kawhi_to_raptors,KXFED,26SEP,KXFED-26SEP-T3.75,374930.8,110,47,63095.0,1.0,3.0,11
kawhi_to_raptors,KXCPI,26AUG,KXCPI-26AUG-T0.2,38136.7,0,0,0,,,15
lebron_to_76ers,KXFED,26JUL,KXFED-26JUL-T3.50,771015.4,6,2,1375.2,1.0,0.0,11
lebron_to_76ers,KXCPI,26AUG,KXCPI-26AUG-T0.2,744.0,28,1,24.0,53.0,11.0,15
von_miller_to_cowboys,KXFED,26SEP,KXFED-26SEP-T3.75,96444.0,82,2,8.5,1.0,0.0,11
von_miller_to_cowboys,KXCPI,26AUG,KXCPI-26AUG-T0.3,14797.8,12,1,25.0,7.0,3.5,15
mitchell_robinson_to_celtics,KXFED,26JUL,KXFED-26JUL-T2.75,115001.7,0,0,0,,,11
mitchell_robinson_to_celtics,KXCPI,26JUL,KXCPI-26JUL-T0.1,1891.8,115,1,80.0,4.0,9.5,10
mike_conley_to_celtics,KXFED,26JUL,KXFED-26JUL-T2.75,115001.7,0,0,0,,,11
mike_conley_to_celtics,KXCPI,26JUL,KXCPI-26JUL-T0.1,1891.8,111,1,80.0,4.0,9.5,10
donovan_mitchell_extension,KXFED,26JUL,KXFED-26JUL-T3.75,256764.2,20,9,573.9,1.0,0.0,11
donovan_mitchell_extension,KXCPI,26JUL,KXCPI-26JUL-T0.1,2686.9,1,0,0.0,4.0,0.0,10
neemias_queta_extension,KXFED,26JUL,KXFED-26JUL-T3.75,114150.3,45,8,1149.4,1.0,1.0,11
neemias_queta_extension,KXCPI,26JUL,KXCPI-26JUL-T0.1,1669.9,53,0,0.0,14.0,4.0,10
jordan_walsh_extension,KXFED,26JUL,KXFED-26JUL-T3.50,769449.1,50,4,39347.1,1.0,0.0,11
jordan_walsh_extension,KXCPI,26AUG,KXCPI-26AUG-T0.2,720.0,303,0,0.0,58.0,24.5,15
brian_oneill_extension,KXFED,26JUL,KXFED-26JUL-T3.75,534146.9,120,37,8583.5,1.0,6.0,11
brian_oneill_extension,KXCPI,26AUG,KXCPI-26AUG-T0.2,696.0,102,0,0.0,55.0,1.5,15
aaron_donald_comeback,KXFED,26SEP,KXFED-26SEP-T3.75,134458.7,48,15,1135.7,1.0,0.0,11
aaron_donald_comeback,KXCPI,26AUG,KXCPI-26AUG-T0.3,20486.7,36,11,425.8,4.0,1.5,15
