event_id,ticker,exclude_reason,n_base,baseline_window,baseline_mean,day0_date,day0_mid,abn_day0,win_end_date,win_end_mid,abn_win_end,vol_day0,vol_base_daily,vol_ratio,label
nba_draft_2026,KXNBA-27-MIA,,9.0,T0-45d..T0,0.0311,2026-06-24,0.065,0.0339,2026-06-26,0.07,0.0389,281004.2,37527.9,7.49,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-ATL,,9.0,T0-45d..T0,0.0139,2026-06-24,0.015,0.0011,2026-06-26,0.015,0.0011,4476.9,3847.1,1.16,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-SAC,,9.0,T0-45d..T0,0.005,2026-06-24,0.005,0.0,2026-06-26,0.005,0.0,787.6,434.7,1.81,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-MIL,,9.0,T0-45d..T0,0.005,2026-06-24,0.005,0.0,2026-06-26,0.005,0.0,3323.5,1504.5,2.21,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-WAS,,9.0,T0-45d..T0,0.005,2026-06-24,0.005,0.0,2026-06-26,0.005,0.0,44551.8,14221.5,3.13,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-UTA,,9.0,T0-45d..T0,0.005,2026-06-24,0.005,0.0,2026-06-26,0.005,0.0,40677.8,8105.5,5.02,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-NOP,,9.0,T0-45d..T0,0.005,2026-06-24,0.005,0.0,2026-06-26,0.005,0.0,96.5,194.1,0.5,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-CHI,,9.0,T0-45d..T0,0.005,2026-06-24,0.005,0.0,2026-06-26,0.005,0.0,5155.9,260.2,19.82,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-CHA,,9.0,T0-45d..T0,0.015,2026-06-24,0.015,-0.0,2026-06-26,0.01,-0.005,398.8,2408.7,0.17,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-BKN,,9.0,T0-45d..T0,0.005,2026-06-24,0.005,0.0,2026-06-26,0.005,0.0,857.6,231.5,3.71,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-MEM,,9.0,T0-45d..T0,0.005,2026-06-24,0.005,0.0,2026-06-26,0.005,0.0,564.1,812.9,0.69,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-LAC,,9.0,T0-45d..T0,0.005,2026-06-24,0.005,0.0,2026-06-26,0.005,0.0,3590.9,3359.8,1.07,NON-CONFIRMATORY / POST-PREREG
