event_id,ticker,window_days,reason
giannis_to_heat,KXFED-26SEP-T5.25,1,no_window_data
giannis_to_heat,KXFED-26SEP-T5.00,1,no_window_data
jaylen_brown_to_76ers,KXFED-26SEP-T5.25,1,insufficient_baseline_history
jaylen_brown_to_76ers,KXFED-26SEP-T5.00,1,insufficient_baseline_history
mike_conley_to_celtics,KXFED-26SEP-T5.25,1,insufficient_baseline_history
mike_conley_to_celtics,KXFED-26SEP-T5.00,1,insufficient_baseline_history
mitchell_robinson_to_celtics,KXFED-26SEP-T5.25,1,insufficient_baseline_history
mitchell_robinson_to_celtics,KXFED-26SEP-T5.00,1,insufficient_baseline_history
neemias_queta_extension,KXFED-26SEP-T5.25,1,insufficient_baseline_history
neemias_queta_extension,KXFED-26SEP-T5.00,1,insufficient_baseline_history
neemias_queta_extension,KXCPI-26AUG-T0.5,1,no_window_data
donovan_mitchell_extension,KXFED-26SEP-T5.25,1,insufficient_baseline_history
donovan_mitchell_extension,KXFED-26SEP-T5.00,1,insufficient_baseline_history
dlo_six_team_trade,KXFED-26SEP-T5.25,1,insufficient_baseline_history
dlo_six_team_trade,KXFED-26SEP-T5.00,1,insufficient_baseline_history
jordan_walsh_extension,KXCPI-26SEP-T0.6,1,insufficient_baseline_history
jordan_walsh_extension,KXCPI-26SEP-T-0.4,1,insufficient_baseline_history
lebron_to_76ers,KXFED-26OCT-T5.25,1,no_window_data
lebron_to_76ers,KXFED-26OCT-T5.00,1,no_window_data
lebron_to_76ers,KXCPI-26SEP-T0.6,1,insufficient_baseline_history
lebron_to_76ers,KXCPI-26SEP-T-0.4,1,insufficient_baseline_history
brian_oneill_extension,KXCPI-26SEP-T0.6,1,insufficient_baseline_history
brian_oneill_extension,KXCPI-26SEP-T-0.4,1,insufficient_baseline_history
von_miller_to_cowboys,KXFED-26OCT-T5.25,1,insufficient_baseline_history
von_miller_to_cowboys,KXCPI-26OCT-T0.5,1,no_window_data
von_miller_to_cowboys,KXFED-26DEC-T5.00,1,no_window_data
von_miller_to_cowboys,KXFED-26DEC-T5.25,1,insufficient_baseline_history
aaron_donald_comeback,KXFED-26DEC-T5.25,1,insufficient_baseline_history
