event_id,team,role,t0_reported,jump_day,vs_t0_days,jump_move_cents,px_before,px_after,volume_x_baseline,t0_anchored_abn,jump_anchored_abn,note
giannis_to_heat,MIA,get,2026-06-23,2026-06-23,0,4.5,2.5,7.0,6.9,4.25,4.25,
giannis_to_heat,MIL,give,2026-06-23,,,0.0,0.5,0.5,,0.0,,no clear jump near T0 (max |daily| <0.75c)
jaylen_brown_to_76ers,PHI,get,2026-07-01,2026-07-02,1,4.0,1.5,5.5,962.6,3.21,5.38,
jaylen_brown_to_76ers,BOS,give,2026-07-01,2026-06-24,-7,-3.0,13.5,10.5,1.6,-4.21,-2.77,
dlo_six_team_trade,MEM,get,2026-07-08,,,0.0,0.5,0.5,,0.0,,no clear jump near T0 (max |daily| <0.75c)
myles_garrett_to_rams,LAR,get,2026-06-01,2026-06-02,1,6.0,10.5,16.5,206.3,3.36,5.06,
myles_garrett_to_rams,CLE,give,2026-06-01,,,0.0,0.5,0.5,,0.0,,no clear jump near T0 (max |daily| <0.75c)
aj_brown_to_patriots,NE,get,2026-06-01,2026-06-02,1,1.0,3.5,4.5,160.2,0.67,1.0,
aj_brown_to_patriots,PHI,give,2026-06-01,2026-05-23,-9,-1.0,5.5,4.5,0.7,-0.81,-1.0,
kawhi_to_raptors,TOR,get,2026-09-14,2026-06-30,-76,2.0,0.5,2.5,569.7,-0.04,3.48,"framework agreement; verified 0.5c->2.5c that day, 4.5c by Jul-02 (outside detection window)"
kawhi_to_raptors,LAC,give,2026-09-14,,,0.0,0.5,0.5,,0.0,,no clear jump near T0 (max |daily| <0.75c)
lebron_to_76ers,PHI,get,2026-07-24,2026-07-25,1,6.0,5.5,11.5,289.5,3.94,5.69,
lebron_to_76ers,LAL,give,2026-07-24,2026-07-23,-1,-1.0,3.5,2.5,3.9,-1.04,-1.06,
von_miller_to_cowboys,DAL,get,2026-08-17,2026-08-15,-2,1.0,3.5,4.5,1.3,1.0,1.0,
donovan_mitchell_extension,CLE,keep,2026-07-07,2026-07-01,-6,3.0,2.5,5.5,193.5,2.83,2.58,
brian_oneill_extension,MIN,keep,2026-07-28,,,0.0,1.5,1.5,,0.0,,no clear jump near T0 (max |daily| <0.75c)
aaron_donald_comeback,LAR,get,2026-08-30,2026-09-01,2,1.0,15.5,16.5,6.1,0.49,0.49,
