cell,metric,tier_definition,tiers_compared,H,p,tested,n_pairs,n_events,per_tier,note,macro_nonbucket_note,caveat,sample_filter,label
sched_macro,abnormal,prereg M0-M3 where moneyness_steps exists (M? dropped),[],,,False,82,1,"M0: n_pairs=6, n_events=1, mean_abnormal=+0.3386; M1: n_pairs=12, n_events=1, mean_abnormal=+0.2655; M2: n_pairs=9, n_events=1, mean_abnormal=+0.0639; M3: n_pairs=55, n_events=1, mean_abnormal=+0.0287",single event in cell: cross-tier KW not interpretable,no non-bucket macro pairs in analyzed sample; |mid-0.5| tercile leg empty by construction,pair-level KW; pairs within an event are correlated so p-values are anti-conservative; exploratory only,full,POST-PREREG SUPPLEMENTARY
sched_macro,abs_abnormal,prereg M0-M3 where moneyness_steps exists (M? dropped),[],,,False,82,1,"M0: n_pairs=6, n_events=1, mean_abs_abnormal=+0.3386; M1: n_pairs=12, n_events=1, mean_abs_abnormal=+0.2686; M2: n_pairs=9, n_events=1, mean_abs_abnormal=+0.0660; M3: n_pairs=55, n_events=1, mean_abs_abnormal=+0.0486",single event in cell: cross-tier KW not interpretable | single event in cell: cross-tier KW not interpretable,no non-bucket macro pairs in analyzed sample; |mid-0.5| tercile leg empty by construction,pair-level KW; pairs within an event are correlated so p-values are anti-conservative; exploratory only,full,POST-PREREG SUPPLEMENTARY
sched_sports,abnormal,terciles of pre-event midpoint within cell (n_bins=1),[],,,False,62,2,"P1: n_pairs=57, n_events=2, mean_abnormal=-0.0006",abnormal: <2 tiers with >=2 pairs; KW not run,no non-bucket macro pairs in analyzed sample; |mid-0.5| tercile leg empty by construction,pair-level KW; pairs within an event are correlated so p-values are anti-conservative; exploratory only,full,POST-PREREG SUPPLEMENTARY
sched_sports,abs_abnormal,terciles of pre-event midpoint within cell (n_bins=1),[],,,False,62,2,"P1: n_pairs=57, n_events=2, mean_abs_abnormal=+0.0041",abnormal: <2 tiers with >=2 pairs; KW not run | abs_abnormal: <2 tiers with >=2 pairs; KW not run,no non-bucket macro pairs in analyzed sample; |mid-0.5| tercile leg empty by construction,pair-level KW; pairs within an event are correlated so p-values are anti-conservative; exploratory only,full,POST-PREREG SUPPLEMENTARY
unsched_macro,abnormal,prereg M0-M3 where moneyness_steps exists (M? dropped),"['M0', 'M1', 'M2', 'M3']",7.401,0.060157,True,886,8,"M0: n_pairs=49, n_events=5, mean_abnormal=+0.0169; M1: n_pairs=90, n_events=5, mean_abnormal=+0.0590; M2: n_pairs=75, n_events=5, mean_abnormal=+0.0439; M3: n_pairs=273, n_events=5, mean_abnormal=+0.0144",,no non-bucket macro pairs in analyzed sample; |mid-0.5| tercile leg empty by construction,pair-level KW; pairs within an event are correlated so p-values are anti-conservative; exploratory only,full,POST-PREREG SUPPLEMENTARY
unsched_macro,abs_abnormal,prereg M0-M3 where moneyness_steps exists (M? dropped),"['M0', 'M1', 'M2', 'M3']",69.9449,0.0,True,886,8,"M0: n_pairs=49, n_events=5, mean_abs_abnormal=+0.1160; M1: n_pairs=90, n_events=5, mean_abs_abnormal=+0.1041; M2: n_pairs=75, n_events=5, mean_abs_abnormal=+0.0643; M3: n_pairs=273, n_events=5, mean_abs_abnormal=+0.0337",,no non-bucket macro pairs in analyzed sample; |mid-0.5| tercile leg empty by construction,pair-level KW; pairs within an event are correlated so p-values are anti-conservative; exploratory only,full,POST-PREREG SUPPLEMENTARY
unsched_sports,abnormal,terciles of pre-event midpoint within cell (n_bins=3),"['P1', 'P2', 'P3']",4.1286,0.126905,True,430,14,"P1: n_pairs=188, n_events=14, mean_abnormal=+0.0003; P2: n_pairs=80, n_events=14, mean_abnormal=-0.0021; P3: n_pairs=134, n_events=14, mean_abnormal=-0.0023",,no non-bucket macro pairs in analyzed sample; |mid-0.5| tercile leg empty by construction,pair-level KW; pairs within an event are correlated so p-values are anti-conservative; exploratory only,full,POST-PREREG SUPPLEMENTARY
unsched_sports,abs_abnormal,terciles of pre-event midpoint within cell (n_bins=3),"['P1', 'P2', 'P3']",91.8411,0.0,True,430,14,"P1: n_pairs=188, n_events=14, mean_abs_abnormal=+0.0022; P2: n_pairs=80, n_events=14, mean_abs_abnormal=+0.0049; P3: n_pairs=134, n_events=14, mean_abs_abnormal=+0.0173",,no non-bucket macro pairs in analyzed sample; |mid-0.5| tercile leg empty by construction,pair-level KW; pairs within an event are correlated so p-values are anti-conservative; exploratory only,full,POST-PREREG SUPPLEMENTARY
sched_macro,abnormal,prereg M0-M3 where moneyness_steps exists (M? dropped),[],,,False,49,1,"M0: n_pairs=3, n_events=1, mean_abnormal=+0.4934; M1: n_pairs=4, n_events=1, mean_abnormal=+0.2580; M2: n_pairs=5, n_events=1, mean_abnormal=+0.0559; M3: n_pairs=37, n_events=1, mean_abnormal=+0.0421",single event in cell: cross-tier KW not interpretable,no non-bucket macro pairs in analyzed sample; |mid-0.5| tercile leg empty by construction,pair-level KW; pairs within an event are correlated so p-values are anti-conservative; exploratory only,liquid_only,POST-PREREG SUPPLEMENTARY
sched_macro,abs_abnormal,prereg M0-M3 where moneyness_steps exists (M? dropped),[],,,False,49,1,"M0: n_pairs=3, n_events=1, mean_abs_abnormal=+0.4934; M1: n_pairs=4, n_events=1, mean_abs_abnormal=+0.2673; M2: n_pairs=5, n_events=1, mean_abs_abnormal=+0.0579; M3: n_pairs=37, n_events=1, mean_abs_abnormal=+0.0424",single event in cell: cross-tier KW not interpretable | single event in cell: cross-tier KW not interpretable,no non-bucket macro pairs in analyzed sample; |mid-0.5| tercile leg empty by construction,pair-level KW; pairs within an event are correlated so p-values are anti-conservative; exploratory only,liquid_only,POST-PREREG SUPPLEMENTARY
