event_id,t0_utc,cell
hormuz_retaliation_threat_xd,2026-09-07T13:53:00Z,unscheduled_macro
canada_proclamations_xd,2026-09-08,unscheduled_macro
hormuz_strike_pipeline_shutdown_xd,2026-09-10,unscheduled_macro
perim_island_seized_xd,2026-09-11,unscheduled_macro
tariff_eu_threat_xd,2026-09-16,unscheduled_macro
russia_sanctions_bill_xd,2026-09-16,unscheduled_macro
trump_truth_fed_xd,2026-09-16,unscheduled_macro
nvda_earnings_xd,2026-08-26,unscheduled_macro
myles_garrett_to_rams_xd,2026-06-01T17:19:00Z,unscheduled_sports
aj_brown_to_patriots_xd,2026-06-01T20:20:00Z,unscheduled_sports
giannis_to_heat_xd,2026-06-23T03:50:00Z,unscheduled_sports
jaylen_brown_to_76ers_xd,2026-07-01T22:20:00Z,unscheduled_sports
mike_conley_to_celtics_xd,2026-07-01T14:58:00Z,unscheduled_sports
mitchell_robinson_to_celtics_xd,2026-07-01T15:39:00Z,unscheduled_sports
neemias_queta_extension_xd,2026-07-03T13:53:00Z,unscheduled_sports
donovan_mitchell_extension_xd,2026-07-07T10:01:00Z,unscheduled_sports
dlo_six_team_trade_xd,2026-07-08T00:53:00Z,unscheduled_sports
jordan_walsh_extension_xd,2026-07-23T12:27:00Z,unscheduled_sports
lebron_to_76ers_xd,2026-07-24T20:34:00Z,unscheduled_sports
brian_oneill_extension_xd,2026-07-28T14:24:00Z,unscheduled_sports
von_miller_to_cowboys_xd,2026-08-17T01:10:00Z,unscheduled_sports
aaron_donald_comeback_xd,2026-08-30T17:00:00Z,unscheduled_sports
kawhi_to_raptors_xd,2026-09-14T18:56:00Z,unscheduled_sports
cpi_aug_release,2026-09-11T12:30:00Z,scheduled_macro
nba_draft_lottery_2026,2026-05-11,scheduled_sports
nba_draft_2026,2026-06-24,scheduled_sports
mlb_allstar_2026,2026-07-14,scheduled_sports
fomc_2026_01_supp,2026-01-28T18:00:00Z,scheduled_macro
fomc_2026_03_supp,2026-03-18T18:00:00Z,scheduled_macro
fomc_2026_04_supp,2026-04-29T18:00:00Z,scheduled_macro
fomc_2026_06_supp,2026-06-17T18:00:00Z,scheduled_macro
fomc_2026_07_supp,2026-07-29T18:00:00Z,scheduled_macro
cpi_2026_01_supp,2026-01-13T12:30:00Z,scheduled_macro
cpi_2026_02_supp,2026-02-13T12:30:00Z,scheduled_macro
cpi_2026_03_supp,2026-03-11T12:30:00Z,scheduled_macro
cpi_2026_04_supp,2026-04-10T12:30:00Z,scheduled_macro
cpi_2026_05_supp,2026-05-12T12:30:00Z,scheduled_macro
cpi_2026_06_supp,2026-06-10T12:30:00Z,scheduled_macro
cpi_2026_07_supp,2026-07-14T12:30:00Z,scheduled_macro
cpi_2026_08_supp,2026-08-12T12:30:00Z,scheduled_macro
