event_date,release,actual,consensus,surprise,source_url,note
2026-08-12,CPI m/m (July 2026 data),+0.1%,+0.1% (Dow Jones survey via CNBC),0.0pp,https://www.financecalendar.com/event/us-cpi-report-august-2026/ | https://stocktwits.com/news-articles/markets/equity/us-consumer-inflation-july-2026-cpi-report/cZo82tGRJgH,Verified 2026-09-23 research pass (research_macro_raw.md:82; expectations.md B10)
2026-08-12,Core CPI m/m (July 2026 data),+0.2%,+0.2% (Dow Jones survey via CNBC),0.0pp,https://www.financecalendar.com/event/us-cpi-report-august-2026/ | https://stocktwits.com/news-articles/markets/equity/us-consumer-inflation-july-2026-cpi-report/cZo82tGRJgH,Verified 2026-09-23 research pass (research_macro_raw.md:82; expectations.md B10)
2026-09-11,CPI m/m (August 2026 data),+0.4%,+0.4% (Dow Jones survey via CNBC),0.0pp,https://www.haawks.com/blog/2026/9/11/august-2026-cpi-market-reaction-us500-gold | https://www.insiderfinance.io/news/us-august-cpi-matches-forecast-inflation-elevated | https://www.bls.gov/news.release/archives/cpi_09112026.htm,Verified 2026-09-23 research pass (research_macro_raw.md:82; expectations.md B10)
2026-09-11,Core CPI m/m (August 2026 data),+0.3%,+0.2% (Dow Jones survey via CNBC),+0.1pp,https://www.haawks.com/blog/2026/9/11/august-2026-cpi-market-reaction-us500-gold | https://www.insiderfinance.io/news/us-august-cpi-matches-forecast-inflation-elevated | https://www.bls.gov/news.release/archives/cpi_09112026.htm,Verified 2026-09-23 research pass; hot core print was the market-relevant surprise (research_macro_raw.md:82)
2026-09-16,FOMC rate decision,raise 25bp to 3.75%-4.00% (12-0 vote),25bp hike (>90% priced per Bloomberg swaps data),direction as expected; unanimity the surprise,https://www.livemint.com/market/stock-market-news/us-fed-meeting-2026-live-updates-interest-rate-decision-today-us-economy-fed-interest-rate-kevin-warsh-16-september-11789571646644.html,Consensus is market-implied (swaps) not a Bloomberg/WSJ survey median — survey median unverified. Prior range 3.50%-3.75% since Dec 2025 cut; first hike since Jul 2023 (expectations.md B9)
2026-02-13,CPI m/m (Jan 2026 data),+0.2%,+0.3% (First Trust),-0.1pp,https://www.ftportfolios.com/Commentary/EconomicResearch/2026/2/13/the-consumer-price-index-cpi-rose-0.2percent-in-january,Verified 2026-09-24 D20 research pass
2026-02-13,Core CPI m/m (Jan 2026 data),+0.3%,+0.3% (First Trust),0.0pp,https://www.ftportfolios.com/Commentary/EconomicResearch/2026/2/13/the-consumer-price-index-cpi-rose-0.2percent-in-january,Verified 2026-09-24 D20 research pass
2026-03-11,CPI m/m (Feb 2026 data),+0.3%,+0.3% (FactSet via First Trust),0.0pp,https://www.ftportfolios.com/Commentary/EconomicResearch/2026/3/11/the-consumer-price-index-cpi-rose-0.3percent-in-february,Verified 2026-09-24 D20 research pass
2026-03-11,Core CPI m/m (Feb 2026 data),+0.2%,+0.2% (FactSet via First Trust),0.0pp,https://www.ftportfolios.com/Commentary/EconomicResearch/2026/3/11/the-consumer-price-index-cpi-rose-0.3percent-in-february,Verified 2026-09-24 D20 research pass
2026-05-12,CPI m/m (Apr 2026 data),+0.6%,unverified,n/a,https://www.zacks.com/stock/news/2935244/may-headline-cpi-data-highest-since-april-2023,Headline actual per Zacks; consensus unverified 2026-09-24 D20 pass
2026-05-12,Core CPI m/m (Apr 2026 data),+0.4%,+0.3% (market), +0.1pp,https://tradingeconomics.com/united-states/core-inflation-rate-mom/news/558054,Verified 2026-09-24 D20 research pass
2026-06-10,CPI m/m (May 2026 data),+0.5%,+0.5% (First Trust),0.0pp,https://www.ftportfolios.com/Commentary/EconomicResearch/2026/6/10/the-consumer-price-index-cpi-rose-0.5percent-in-may,Verified 2026-09-24 D20 research pass
2026-06-10,Core CPI m/m (May 2026 data),+0.2%,+0.3% (First Trust),-0.1pp,https://www.ftportfolios.com/Commentary/EconomicResearch/2026/6/10/the-consumer-price-index-cpi-rose-0.5percent-in-may,Verified 2026-09-24 D20 research pass
2026-07-14,CPI m/m (Jun 2026 data),-0.4%,-0.1% (First Trust),-0.3pp,https://www.ftportfolios.com/Commentary/EconomicResearch/2026/7/14/the-consumer-price-index-cpi-declined-0.4percent-in-june?utm_source=follow.it,Verified 2026-09-24 D20 research pass
2026-07-14,Core CPI m/m (Jun 2026 data),0.0%,+0.2% (First Trust),-0.2pp,https://www.ftportfolios.com/Commentary/EconomicResearch/2026/7/14/the-consumer-price-index-cpi-declined-0.4percent-in-june?utm_source=follow.it,Verified 2026-09-24 D20 research pass
2026-08-12,CPI m/m (Jul 2026 data),+0.1%,+0.1% (Dow Jones survey via CNBC),0.0pp,https://www.wichitaliberty.org/economics/july-2026-cpi-report-inflation-3-4-percent/,Verified 2026-09-24 D20 research pass; consistent with 2026-09-23 rows
2026-08-12,Core CPI m/m (Jul 2026 data),+0.2%,+0.2% (Dow Jones survey via CNBC),0.0pp,https://www.wichitaliberty.org/economics/july-2026-cpi-report-inflation-3-4-percent/,Verified 2026-09-24 D20 research pass; consistent with 2026-09-23 rows
