event_id,t0_utc,cell
myles_garrett_to_rams_fx,2026-06-01T17:19:00Z,unscheduled_sports
aj_brown_to_patriots_fx,2026-06-01T20:20:00Z,unscheduled_sports
giannis_to_heat_fx,2026-06-23T03:50:00Z,unscheduled_sports
jaylen_brown_to_76ers_fx,2026-07-01T22:20:00Z,unscheduled_sports
mike_conley_to_celtics_fx,2026-07-01T14:58:00Z,unscheduled_sports
mitchell_robinson_to_celtics_fx,2026-07-01T15:39:00Z,unscheduled_sports
neemias_queta_extension_fx,2026-07-03T13:53:00Z,unscheduled_sports
donovan_mitchell_extension_fx,2026-07-07T10:01:00Z,unscheduled_sports
dlo_six_team_trade_fx,2026-07-08T00:53:00Z,unscheduled_sports
jordan_walsh_extension_fx,2026-07-23T12:27:00Z,unscheduled_sports
lebron_to_76ers_fx,2026-07-24T20:34:00Z,unscheduled_sports
brian_oneill_extension_fx,2026-07-28T14:24:00Z,unscheduled_sports
von_miller_to_cowboys_fx,2026-08-17T01:10:00Z,unscheduled_sports
aaron_donald_comeback_fx,2026-08-30T17:00:00Z,unscheduled_sports
kawhi_to_raptors_fx,2026-09-14T18:56:00Z,unscheduled_sports
