ticker,series,event_id,event_type,category,t0_utc,discovery_source,status,market_type,subtitle,yes_sub_title,floor_strike,cap_strike,open_time,close_time,candle_source,n_candles
KXFED-26SEP-T5.25,KXFED,myles_garrett_to_rams_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-01T17:19:00Z,live,finalized,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,38
KXFED-26SEP-T5.00,KXFED,myles_garrett_to_rams_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-01T17:19:00Z,live,finalized,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,32
KXCPI-26JUL-T0.5,KXCPI,myles_garrett_to_rams_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-01T17:19:00Z,live,finalized,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-08-12T12:25:00Z,live,55
KXCPI-26JUL-T0.4,KXCPI,myles_garrett_to_rams_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-01T17:19:00Z,live,finalized,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-08-12T12:25:00Z,live,54
KXFED-26SEP-T5.25,KXFED,aj_brown_to_patriots_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-01T20:20:00Z,live,finalized,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,38
KXFED-26SEP-T5.00,KXFED,aj_brown_to_patriots_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-01T20:20:00Z,live,finalized,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,32
KXCPI-26JUL-T0.5,KXCPI,aj_brown_to_patriots_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-01T20:20:00Z,live,finalized,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-08-12T12:25:00Z,live,55
KXCPI-26JUL-T0.4,KXCPI,aj_brown_to_patriots_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-01T20:20:00Z,live,finalized,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-08-12T12:25:00Z,live,54
KXFED-26SEP-T5.25,KXFED,giannis_to_heat_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-23T03:50:00Z,live,finalized,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,22
KXFED-26SEP-T5.00,KXFED,giannis_to_heat_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-23T03:50:00Z,live,finalized,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,22
