series,ticker,event_ticker,midpoint,volume,open_interest,liquidity_dollars,close_time
KXFED,KXFED-27APR-T4.25,KXFED-27APR,0.48,10378.92,2049.26,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T4.00,KXFED-27APR,0.785,15633.58,1780.82,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T3.75,KXFED-27APR,0.8,10871.66,1713.30,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T3.50,KXFED-27APR,0.83,22807.77,2183.87,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T3.25,KXFED-27APR,0.875,16384.12,2003.19,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T3.00,KXFED-27APR,0.91,16129.03,1278.21,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T2.75,KXFED-27APR,0.915,6468.56,1613.81,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T2.50,KXFED-27APR,0.935,6546.30,1411.20,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T2.25,KXFED-27APR,0.955,6162.18,1156.57,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T2.00,KXFED-27APR,0.93,7364.99,1095.79,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T1.75,KXFED-27APR,0.93,3325.46,612.77,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T1.50,KXFED-27APR,0.95,5377.26,998.25,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T1.25,KXFED-27APR,0.93,7961.75,2997.53,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T1.00,KXFED-27APR,0.935,4895.56,991.55,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T0.75,KXFED-27APR,0.94,3780.50,1030.00,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T0.50,KXFED-27APR,0.965,2739.09,1131.00,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T0.25,KXFED-27APR,0.965,2197.85,567.16,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27APR-T0.00,KXFED-27APR,0.96,1710.52,933.52,0.0000,2027-04-28T17:55:00Z
KXFED,KXFED-27MAR-T4.25,KXFED-27MAR,0.335,3107.92,1409.60,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T4.00,KXFED-27MAR,0.815,4225.77,977.62,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T3.75,KXFED-27MAR,0.76,2430.27,791.58,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T3.50,KXFED-27MAR,0.765,3084.52,1347.50,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T3.25,KXFED-27MAR,0.915,4751.56,723.94,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T3.00,KXFED-27MAR,0.825,1734.03,310.10,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T2.75,KXFED-27MAR,0.915,1774.73,323.35,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T2.50,KXFED-27MAR,0.81,1231.34,250.28,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T2.25,KXFED-27MAR,0.925,2304.48,958.84,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T2.00,KXFED-27MAR,0.93,3352.75,872.88,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T1.75,KXFED-27MAR,0.935,1378.40,203.33,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T1.50,KXFED-27MAR,0.97,899.71,147.73,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T1.25,KXFED-27MAR,0.95,1675.21,592.10,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T1.00,KXFED-27MAR,0.955,1328.04,485.98,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T0.75,KXFED-27MAR,0.97,1243.32,585.30,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T0.50,KXFED-27MAR,0.95,671.01,258.98,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T0.25,KXFED-27MAR,0.965,872.04,361.00,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27MAR-T0.00,KXFED-27MAR,0.975,782.91,327.88,0.0000,2027-03-17T17:55:00Z
KXFED,KXFED-27JAN-T4.25,KXFED-27JAN,0.39,1427.25,613.33,0.0000,2027-01-27T18:55:00Z
KXFED,KXFED-27JAN-T4.00,KXFED-27JAN,0.625,4531.33,1259.28,0.0000,2027-01-27T18:55:00Z
KXFED,KXFED-27JAN-T3.75,KXFED-27JAN,0.82,2360.19,750.40,0.0000,2027-01-27T18:55:00Z
KXFED,KXFED-27JAN-T3.50,KXFED-27JAN,0.845,7329.45,1654.20,0.0000,2027-01-27T18:55:00Z
KXFED,KXFED-27JAN-T3.25,KXFED-27JAN,0.93,13229.99,2862.99,0.0000,2027-01-27T18:55:00Z
